DATA,Quantidade
2019-10-18,8.0
2019-10-19,6.0
2019-10-20,6.0
2019-10-21,7.0
2019-10-22,3.0
2019-10-23,4.0
2019-10-24,6.0
2019-10-25,3.0
2019-10-26,3.0
2019-10-27,4.0
2019-10-28,8.0
2019-10-29,8.0
2019-10-30,4.0
2019-10-31,6.0
2019-11-01,8.0
2019-11-02,4.0
2019-11-03,4.0
2019-11-04,5.0
2019-11-05,6.0
2019-11-06,9.0
2019-11-07,9.0
2019-11-08,14.0
2019-11-09,6.0
2019-11-10,7.0
2019-11-11,5.0
2019-11-12,4.0
2019-11-13,16.0
2019-11-14,5.0
2019-11-15,3.0
2019-11-16,4.0
2019-11-17,6.0
2019-11-18,7.0
2019-11-19,6.0
2019-11-20,10.0
2019-11-21,6.0
2019-11-22,15.0
2019-11-23,3.0
2019-11-24,9.0
2019-11-25,5.0
2019-11-26,7.0
2019-11-27,6.0
2019-11-28,7.0
2019-11-29,10.0
2019-11-30,6.0
2019-12-01,6.0
2019-12-02,11.0
2019-12-03,11.0
2019-12-04,7.0
2019-12-05,4.0
2019-12-06,13.0
2019-12-07,7.0
2019-12-08,8.0
2019-12-09,9.0
2019-12-10,8.0
2019-12-11,8.0
2019-12-12,6.0
2019-12-13,4.0
2019-12-14,9.0
2019-12-15,5.0
2019-12-16,12.0
2019-12-17,8.0
2019-12-18,6.0
2019-12-19,8.0
2019-12-20,9.0
2019-12-21,8.0
2019-12-22,7.0
2019-12-23,9.0
2019-12-24,5.0
2019-12-25,6.0
2019-12-26,8.0
2019-12-27,6.0
2019-12-28,5.0
2019-12-29,4.0
2019-12-30,6.0
2019-12-31,3.0
